ID,Date,City,Platform,Category,Product_Type,Product_Name,Pack_Size,MRP,Selling_Price,Discount,Stock_Status
1,22-07-26,Delhi,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
2,22-07-26,Mumbai,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
3,22-07-26,Pune,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
4,22-07-26,Bengaluru,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
5,22-07-26,Chennai,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
6,22-07-26,Delhi,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
7,22-07-26,Mumbai,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
8,22-07-26,Pune,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
9,22-07-26,Bengaluru,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
10,22-07-26,Chennai,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
11,22-07-26,Delhi,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,60,5,In stock
12,22-07-26,Mumbai,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,60,5,In stock
13,22-07-26,Pune,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,60,5,In stock
14,22-07-26,Bengaluru,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,60,5,In stock
15,22-07-26,Chennai,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,60,5,In stock
16,23-07-26,Delhi,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
17,23-07-26,Mumbai,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
18,23-07-26,Pune,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
19,23-07-26,Bengaluru,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
20,23-07-26,Chennai,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
21,23-07-26,Delhi,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
22,23-07-26,Mumbai,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
23,23-07-26,Pune,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
24,23-07-26,Bengaluru,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
25,23-07-26,Chennai,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
26,23-07-26,Delhi,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
27,23-07-26,Mumbai,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
28,23-07-26,Pune,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
29,23-07-26,Bengaluru,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
30,23-07-26,Chennai,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
31,24-07-26,Delhi,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
134,23-07-26,Mumbai,Blinkit,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,,100,Out of stock
33,24-07-26,Pune,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
34,24-07-26,Bengaluru,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
35,24-07-26,Chennai,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
36,24-07-26,Delhi,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
37,24-07-26,Mumbai,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
38,24-07-26,Pune,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
39,24-07-26,Bengaluru,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
40,24-07-26,Chennai,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
41,24-07-26,Delhi,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
42,24-07-26,Mumbai,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
43,24-07-26,Pune,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
44,24-07-26,Bengaluru,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
45,24-07-26,Chennai,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
46,25-07-26,Delhi,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
47,25-07-26,Mumbai,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
48,25-07-26,Pune,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
49,25-07-26,Bengaluru,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
50,25-07-26,Chennai,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
51,25-07-26,Delhi,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
52,25-07-26,Mumbai,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
53,25-07-26,Pune,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
54,25-07-26,Bengaluru,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
55,25-07-26,Chennai,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
56,25-07-26,Delhi,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
57,25-07-26,Mumbai,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
58,25-07-26,Pune,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
59,25-07-26,Bengaluru,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
60,25-07-26,Chennai,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
61,26-07-26,Delhi,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
62,26-07-26,Mumbai,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
63,26-07-26,Pune,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
64,26-07-26,Bengaluru,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
65,26-07-26,Chennai,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
66,26-07-26,Delhi,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
67,26-07-26,Mumbai,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
68,26-07-26,Pune,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
69,26-07-26,Bengaluru,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
70,26-07-26,Chennai,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
71,26-07-26,Delhi,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
72,26-07-26,Mumbai,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
73,26-07-26,Bengaluru,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
74,26-07-26,Chennai,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
75,26-07-26,Pune,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,,100,Out of stock
76,27-07-26,Delhi,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
77,27-07-26,Mumbai,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
78,27-07-26,Pune,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
79,27-07-26,Bengaluru,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
80,27-07-26,Chennai,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
81,27-07-26,Delhi,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
82,27-07-26,Mumbai,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
83,27-07-26,Bengaluru,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
84,27-07-26,Chennai,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
85,27-07-26,Delhi,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
86,27-07-26,Mumbai,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
87,27-07-26,Bengaluru,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
88,27-07-26,Chennai,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
89,27-07-26,Pune,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,,100,Out of stock
90,27-07-26,Pune,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,,100,Out of stock
91,28-07-26,Delhi,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
92,28-07-26,Pune,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
93,28-07-26,Bengaluru,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
94,28-07-26,Chennai,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
95,28-07-26,Delhi,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
96,28-07-26,Bengaluru,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
97,28-07-26,Chennai,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
98,28-07-26,Delhi,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
99,28-07-26,Mumbai,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
100,28-07-26,Bengaluru,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
101,28-07-26,Chennai,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,63,0,In stock
102,28-07-26,Mumbai,Blinkit,Dairy,Butter,Amul Salted Butter,100 g,63,,100,Out of stock
103,28-07-26,Mumbai,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,,100,Out of stock
104,28-07-26,Pune,Instamart,Dairy,Butter,Amul Salted Butter,100 g,63,,100,Out of stock
105,28-07-26,Pune,Zepto,Dairy,Butter,Amul Salted Butter,100 g,63,,100,Out of stock
106,22-07-26,Delhi,Blinkit,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
107,22-07-26,Pune,Blinkit,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
108,22-07-26,Bengaluru,Blinkit,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
109,22-07-26,Chennai,Blinkit,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
110,22-07-26,Delhi,Zepto,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
111,22-07-26,Mumbai,Zepto,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
112,22-07-26,Pune,Zepto,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
113,22-07-26,Bengaluru,Zepto,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
114,22-07-26,Chennai,Zepto,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
115,22-07-26,Mumbai,Blinkit,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
116,22-07-26,Delhi,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,69,10,In stock
117,22-07-26,Mumbai,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,69,10,In stock
118,22-07-26,Pune,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,69,10,In stock
119,22-07-26,Bengaluru,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,69,10,In stock
120,22-07-26,Chennai,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,69,10,In stock
121,23-07-26,Delhi,Blinkit,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
122,23-07-26,Pune,Blinkit,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
123,23-07-26,Bengaluru,Blinkit,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
124,23-07-26,Chennai,Blinkit,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
125,23-07-26,Delhi,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
126,23-07-26,Mumbai,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
127,23-07-26,Pune,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
128,23-07-26,Bengaluru,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
129,23-07-26,Chennai,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
130,23-07-26,Delhi,Zepto,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
131,23-07-26,Pune,Zepto,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
132,23-07-26,Bengaluru,Zepto,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
133,23-07-26,Chennai,Zepto,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
227,23-07-26,Mumbai,Blinkit,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
135,23-07-26,Mumbai,Zepto,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,,100,Out of stock
136,24-07-26,Delhi,Blinkit,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
137,24-07-26,Pune,Blinkit,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
138,24-07-26,Bengaluru,Blinkit,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
139,24-07-26,Chennai,Blinkit,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
140,24-07-26,Delhi,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
141,24-07-26,Mumbai,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
142,24-07-26,Pune,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
